domain,status,query_time_ms
wpad,SERVFAIL,0
wpad,SERVFAIL,0
gustissimo.it,NOERROR,15
wpad,SERVFAIL,0
wpad,SERVFAIL,0
auto-klad.ru,NOERROR,383
iointegrators.com,NOERROR,15
daytimeghosthunter.com,NXDOMAIN,19
sapendolo.it,SERVFAIL,19
saharaimport.com,NOERROR,15
ngoanhien.com,NXDOMAIN,19
itgeorgia.co,NOERROR,15
myfantasticpark.es,NOERROR,15
vinayaprabha.com,NOERROR,11
sitiweb.us,NOERROR,15
contentremarketing.com,NOERROR,11
videofun.me,NOERROR,15
breezelaw.com,NOERROR,15
ranocchi.it,NOERROR,15
22hotmail.com,NOERROR,15
ana-sofia.pt,NOERROR,11
abhair.com,NOERROR,15
tripladoppia.com,NXDOMAIN,19
gardeninginflorida.com,NOERROR,79
thepropertyvault.co.uk,NOERROR,79
viahttps.com,NOERROR,187
adverman.com,NOERROR,15
majorleaguelacrosse.com,NOERROR,15
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
rubenquinones.com,NOERROR,11
wpad,SERVFAIL,0
wpad,SERVFAIL,3
wpad,SERVFAIL,0
wpad,SERVFAIL,0
kanoon-ansar.org,NOERROR,11
gmxwnlajnl,SERVFAIL,0
djoncbjcmv,SERVFAIL,0
mptrmkwart,SERVFAIL,0
djoncbjcmv,SERVFAIL,0
gmxwnlajnl,SERVFAIL,0
mptrmkwart,SERVFAIL,0
arrabonet.hu,NOERROR,395
wordai.com,NOERROR,15
muhammedmusa.com,NXDOMAIN,19
freepornvideosx.com,NXDOMAIN,19
120shenbing.com,NXDOMAIN,19
onetoshop.nl,NOERROR,11
meditekyazilim.net,NOERROR,15
theexoticpersian.com,NXDOMAIN,19
boh10suphanburi.com,NXDOMAIN,19
overseasmedical.com,NOERROR,367
grandcanyongrandhotel.com,NOERROR,19
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
isilon,SERVFAIL,0
isilon,SERVFAIL,0
isilon,SERVFAIL,0
isilon,SERVFAIL,0
boneshoppe.com,NXDOMAIN,15
sweathelp.org,NOERROR,15
c0.pl,NOERROR,15
sipflash.com,NOERROR,79
koopsmodellbau.de,NOERROR,15
lespetiteschoses.com,NOERROR,11
b2b2c.ca,NOERROR,11
pilsnerurquell.com,NOERROR,19
medintime.ru,NOERROR,15
njafe.org,NOERROR,15
djbarryblends.com,NOERROR,87
deine-bahn.de,NOERROR,15
hackthissite.org,NOERROR,11
ereadz.com,NXDOMAIN,75
gurukulonline.com,NOERROR,11
sf-notifications.com,NOERROR,23
isatap,SERVFAIL,0
isatap,SERVFAIL,0
isatap,SERVFAIL,3
isatap,SERVFAIL,0
capequilog.com,NOERROR,15
greens.my,NOERROR,11
2xfzy.com,NOERROR,15
magic-illusion.ru,NOERROR,19
irflashgame.com,NXDOMAIN,19
solcredito.es,NOERROR,35
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
go2jump.com,NOERROR,15
millionfareast.com,NOERROR,15
msf.be,NOERROR,19
cellslider.net,NOERROR,27
bhhsneproperties.com,NOERROR,15
skplus.kr,NXDOMAIN,15
empclan.com,NOERROR,259
carolgraykennedy.com,NXDOMAIN,15
kiyimuzik.com,NOERROR,15
yunpda.com,NXDOMAIN,19
valdo.com,NOERROR,15
supportpabiomass.org,NOERROR,19
roche-applied-science.com,NOERROR,83
oneworldinfo.com,NOERROR,15
7apcrshrmanila.org,NXDOMAIN,171
ilikecrochet.com,NOERROR,23
closerdiets.com,NOERROR,19
myface.com,NOERROR,15
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,3
megi.cz,NOERROR,83
pces.in,NOERROR,23
originalmagicart.com,NOERROR,15
godo.co.kr,NOERROR,163
ugotrelis.com,NOERROR,395
isatap,SERVFAIL,0
isatap,SERVFAIL,0
isatap,SERVFAIL,0
isatap,SERVFAIL,0
alb-automobiles.com,NXDOMAIN,19
ok-magazine.ru,NOERROR,403
wiltpr.com,NXDOMAIN,15
dmg-dental.com,NOERROR,299
silkroadtours.com,NOERROR,83
rositehost.com,NOERROR,415
wpad,SERVFAIL,0
wpad,SERVFAIL,3
wpad,SERVFAIL,0
wpad,SERVFAIL,0
livescan4all.com,NOERROR,23
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
oberandsons.com,NOERROR,283
celerity.com,NOERROR,15
miscellaneousheathen.com,NOERROR,15
rolflouisville.com,NOERROR,15
jacquelinemertz.ch,NXDOMAIN,15
gaplex.biz,NXDOMAIN,15
frasesdemotivacao.net,NXDOMAIN,15
divefishhouse.com,NXDOMAIN,15
stark.dk,NOERROR,15
xxx-muschis.de,NXDOMAIN,79
florenseusa.com,NOERROR,79
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
wpad,SERVFAIL,0
